date,rain_mm,week,year
2021-05-31,0.0,22,2021
2021-06-01,0.0,22,2021
2021-06-02,5.5,22,2021
2021-06-03,2.9,22,2021
2021-06-04,0.0,22,2021
2021-06-05,0.0,22,2021
2021-06-06,0.0,22,2021
2021-06-07,0.0,23,2021
2021-06-08,4.9,23,2021
2021-06-09,0.0,23,2021
2021-06-10,0.0,23,2021
2021-06-11,0.0,23,2021
2021-06-12,0.0,23,2021
2021-06-13,0.0,23,2021
2021-06-14,6.3,24,2021
2021-06-15,0.0,24,2021
2021-06-16,0.0,24,2021
2021-06-17,0.0,24,2021
2021-06-18,13.4,24,2021
2021-06-19,0.0,24,2021
2021-06-20,0.0,24,2021
2021-06-21,4.9,25,2021
2021-06-22,0.0,25,2021
2021-06-23,0.0,25,2021
2021-06-24,0.0,25,2021
2021-06-25,13.5,25,2021
2021-06-26,3.9,25,2021
2021-06-27,0.0,25,2021
2021-06-28,0.0,26,2021
2021-06-29,13.8,26,2021
2021-06-30,0.0,26,2021
2021-07-01,0.0,26,2021
2021-07-02,15.6,26,2021
2021-07-03,0.0,26,2021
2021-07-04,0.0,26,2021
2021-07-05,0.0,27,2021
2021-07-06,0.0,27,2021
2021-07-07,5.9,27,2021
2021-07-08,23.3,27,2021
2021-07-09,2.4,27,2021
2021-07-10,0.0,27,2021
2021-07-11,1.3,27,2021
2021-07-12,0.0,28,2021
2021-07-13,2.2,28,2021
2021-07-14,0.0,28,2021
2021-07-15,17.0,28,2021
2021-07-16,0.0,28,2021
2021-07-17,3.6,28,2021
2021-07-18,0.0,28,2021
2021-07-20,1.4,29,2021
2021-07-21,0.0,29,2021
2021-07-22,0.0,29,2021
2021-07-23,0.0,29,2021
2021-07-24,18.7,29,2021
2021-07-25,0.0,29,2021
2021-07-26,0.0,30,2021
2021-07-27,6.9,30,2021
2021-07-28,0.0,30,2021
2021-07-29,14.0,30,2021
2021-07-30,0.0,30,2021
2021-07-31,0.0,30,2021
2021-08-01,0.2,30,2021
2021-08-02,0.0,31,2021
2021-08-03,0.0,31,2021
2021-08-04,0.0,31,2021
2021-08-05,0.0,31,2021
2021-08-06,0.0,31,2021
2021-08-07,1.5,31,2021
2021-08-08,0.0,31,2021
2021-08-09,0.0,32,2021
2021-08-10,0.2,32,2021
2021-08-11,1.3,32,2021
2021-08-12,0.7,32,2021
2021-08-13,0.2,32,2021
2021-08-14,0.0,32,2021
2021-08-15,0.0,32,2021
2021-08-16,0.0,33,2021
2021-08-17,0.0,33,2021
2021-08-18,0.6,33,2021
2021-08-19,0.0,33,2021
2021-08-20,0.0,33,2021
2021-08-21,0.0,33,2021
2021-08-22,0.0,33,2021
2021-08-23,0.0,34,2021
2021-08-24,0.0,34,2021
2021-08-25,0.0,34,2021
2021-08-26,0.8,34,2021
2021-08-27,0.0,34,2021
2021-08-28,0.8,34,2021
2021-08-29,0.6,34,2021
2021-08-30,0.4,35,2021
2021-08-31,0.0,35,2021
2021-09-02,0.0,35,2021
2021-09-03,0.0,35,2021
2021-09-04,1.8,35,2021
2021-09-05,0.5,35,2021
2021-09-06,5.2,36,2021
2021-09-07,24.2,36,2021
2021-09-08,15.6,36,2021
2021-09-09,0.0,36,2021
2021-09-10,0.0,36,2021
2021-09-11,0.0,36,2021
2021-09-12,3.3,36,2021
2021-09-13,0.0,37,2021
2021-09-14,14.2,37,2021
2021-09-15,0.0,37,2021
2021-09-16,0.0,37,2021
2021-09-17,0.0,37,2021
2021-09-18,0.0,37,2021
2021-09-19,0.0,37,2021
2021-09-20,0.0,38,2021
2021-09-21,4.8,38,2021
2021-09-22,39.0,38,2021
2021-09-23,3.1,38,2021
2021-09-24,0.0,38,2021
2021-09-25,1.5,38,2021
2021-09-26,3.2,38,2021
2021-09-27,0.7,39,2021
2021-09-28,0.0,39,2021
2021-09-29,0.0,39,2021
2022-05-01,1.4,17,2022
2022-05-02,0.0,18,2022
2022-05-03,11.9,18,2022
2022-05-04,4.1,18,2022
2022-05-05,0.0,18,2022
2022-05-06,0.0,18,2022
2022-05-07,0.0,18,2022
2022-05-08,0.0,18,2022
2022-05-09,0.0,19,2022
2022-05-10,0.0,19,2022
2022-05-11,0.0,19,2022
2022-05-12,0.0,19,2022
2022-05-13,0.0,19,2022
2022-05-14,0.0,19,2022
2022-05-15,0.0,19,2022
2022-05-16,5.0,20,2022
2022-05-17,0.0,20,2022
